REF,AR,DEC
WZ Cas,0.02083333333,60.35527778
SU And,0.07666666667,43.55111111
VX And,0.3316666667,44.70916667
AQ And,0.4586111111,35.58722222
W Cas,0.9147222222,58.56361111
V Ari,2.25,12.23972222
V623 Cas,3.190277778,57.90305556
Y Per,3.461666667,44.17666667
R Lep,4.993333333,-14.80611111
W Ori,5.089722222,1.1775
TX Aur,5.151388889,39.00222222
SY Eri,5.163333333,-5.515277778
UV Aur,5.363333333,32.51194444
S Aur,5.451944444,34.14972222
RT Ori,5.553611111,7.153333333
TU Tau,5.753611111,24.42
Y Tau,5.760833333,20.695
FU Aur,5.802222222,30.63083333
V440 Aur,5.857222222,32.12472222
TU Gem,6.181388889,26.01472222
V Aur,6.400555556,47.70638889
BL Ori,6.424444444,14.72194444
VW Gem,6.702222222,31.45472222
GY Mon,6.886388889,-4.576111111
RV Mon,6.9725,6.166944444
V614 Mon,7.016944444,-3.2525
RY Mon,7.115555556,-7.557222222
W CMa,7.134166667,-11.92305556
BM Gem,7.349722222,24.99944444
NQ Gem,7.531666667,24.50333333
X Cnc,8.922777778,17.23111111
T Cnc,8.944444444,19.51555556
Y Hya,9.850833333,-23.01722222
U Hya,10.62583333,-13.38444444
VY UMa,10.75111111,67.41111111
SS Vir,12.42055556,0.7694444444
Y CVn (La Superba),12.75194444,45.44
RY Dra,12.94027778,65.99416667
V CrB,15.82527778,39.57138889
RR Her,16.07027778,50.49888889
V Oph,16.44527778,-12.42638889
SAO 46574,17.22527778,42.10611111
TW Oph,17.49527778,-19.47277778
SZ Sgr,17.74888889,-18.65722222
T Dra,17.93972222,58.21833333
FO Ser,18.3225,-15.61277778
HK Lyr,18.71388889,36.95833333
S Sct,18.97222222,-7.9075
UV Aql,18.97555556,14.36361111
V Aql,19.07333333,-5.684722222
AQ Sgr,19.57166667,-16.37416667
TT Cyg,19.6825,32.61805556
AX Cyg,19.95333333,44.26111111
V1469 Aql,20.01777778,9.514166667
X Sge,20.08472222,20.6475
RY Cyg,20.17305556,35.94722222
RS Cyg,20.22305556,38.72888889
U Cyg,20.32666667,47.89416667
V Cyg,20.68833333,48.14111111
61 Cyg,21.115283333,38.749917222
S Cep,21.58694444,78.62444444
V460 Cyg,21.70027778,35.51
RV Cyg,21.72111111,38.01722222
Mu Cep,21.725,58.78
RX Peg,21.93944444,22.86194444
RZ Peg,22.09777778,33.50666667
ST And,23.64583333,35.7725
26 Psc,0.08944444444,8.787777778
Z Psc,1.268055556,25.76916667
UY And,2.639722222,39.16916667
V466 Per,3.691388889,51.50305556
U Cam,3.696666667,62.64833333
UV Cam,4.098055556,61.79416667
XX Cam,4.144166667,53.36083333
ST Cam,4.853611111,68.16861111
TT Tau,4.858611111,28.52666667
EL Aur,5.056388889,50.63277778
S Cam,5.683888889,68.79861111
FU Mon,6.373055556,3.424166667
UU Aur,6.608888889,38.44527778
R CMi,7.145,10.02388889
RU Cam,7.362222222,69.67055556
RU Pup,8.124722222,-22.9125
V Hya,10.86027778,-21.25
AC Her,18.50444444,21.86666667
T Lyr,18.53888889,36.99861111
V1942 Sgr,19.31916667,-15.90833333
U Lyr,19.33583333,37.87666667
UX Dra,19.35972222,76.55944444
NSV 11960,19.38611111,-10.70305556
AW Cyg,19.47972222,46.04388889
BF Sge,20.03972222,21.09
SV Cyg,20.15833333,47.87138889
RT Cap,20.285,-21.31777778
CY Cyg,20.78055556,46.05166667
SAO 106516,20.81027778,17.84
NSV 13571,21.16638889,26.61527778
RU Aqr,23.40666667,-17.31888889
TX Psc,23.77305556,3.486666667
SAO 128396,23.81805556,6.3825
V354 Cep,22.55972222,58.89583333
NSV 15196,0.9036111111,24.06694444
SAO 129989,2.585,-9.442777778
