TITLE,AR_MIN,AR_MAX,DEC_MIN,DEC_MAX
CENIT,0,24,70,90
1A,23.5,27.5,32.5,75
1B,3,6.5,37.5,75
1C,6,9.5,37.5,75
1D,9,12.5,37.5,75
1E,12,15.5,37.5,75
1F,15,18.5,37.5,75
1G,18,21.5,37.5,75
1H,21,24.5,37.5,75
2A,23.5,27.5,10,47.5
2B,3,6.5,10,47.5
2C,6,9.5,5,45
2D,9,12.5,10,47.5
2E,11.5,15.5,10,47.5
2F,15,18.5,10,48
2G,18,21.5,10,47.5
2H,21,24.5,10,47.5
3A,23.5,27.5,-18.5,20
3B,3,6.5,-17.5,18
3C,5,9.5,-17.5,20
3D,9,12.5,-17.5,20
3E,11.5,15.5,-17.5,20
3F,15,18.5,-17.5,20
3G,18,21.5,-17.5,20
3H,21,24.5,-17.5,20
4A,23.5,27.5,-45,-7.5
4B,3,6.5,-45,-7.5
4C,6,9.5,-45,-7.5
4D,9,12.5,-45,-7.5
4E,12,15.5,-45,-7.5
4F,15,18.5,-45,-7.5
4G,18,21.5,-45,-7.5
4H,21,24.5,-45,-7.5
