REF,HIP CODE,Label,CLASS,AR,DEC
Σ3053,207,Σ3053,Doble Colorida,0.0433561660,66.0989634100
π And,2912,π And,Doble Colorida,0.6146774927,33.7193522700
α Cas,3179,α Cas,Doble Colorida,0.6751075660,56.5374092800
η Cas,3821,η Cas,Doble Colorida,0.8180835080,57.8165477000
36 And,4288,36 And,Doble,0.9161166373,23.6284459500
ψ Psc,5131,ψ Psc,Doble,1.0947021013,21.4732162000
ζ Psc,5737,ζ Psc,Doble,1.2288339907,7.5754889500
χ Ceti,8497,χ Ceti,Doble,1.8264419740,-10.6861807400
1 Ari,8544,1 Ari,Doble Colorida,1.8357167420,22.2753566000
γ Ari,8832,γ Ari,Doble Colorida,1.8921570040,19.2940926400
56 And,9021,56 And,Doble,1.9358971860,37.2518040000
λ Ari,9153,λ Ari,Doble Colorida,1.9654931753,23.5960961000
α Psc,9487,α Psc,Doble,2.0341112860,2.7637604800
γ And,9640,γ And,Doble Colorida,2.0649775220,42.3298483200
ι Tri,10280,ι Tri,Doble Colorida,2.2062010880,30.3032150700
ι Cas,11569,ι Cas,Doble,2.4844411607,67.4023838500
30 Ari,12189,30 Ari,Doble Colorida,2.6167877053,24.6472566300
η Per,13268,η Per,Doble Colorida,2.8449424367,55.8955295500
ε Ari,13914,ε Ari,Doble,2.9868705153,21.3404447700
Σ331,14043,Σ331,Doble,3.0144955680,52.3517976900
32 Eri,18255,32 Eri,Doble Colorida,3.9048573940,-2.9547334800
Σ476,24825,Σ476,Doble,5.3215099520,-18.5199413400
11-12 Cam,23734,11-12 Cam,Doble,5.1023499247,58.9723908500
κ Lep,24327,κ Lep,Doble,5.2205236147,-12.9412883300
β Ori,24436,β Ori,Doble,5.2422975687,-8.2016391900
14 Aur,24504,14 Aur,Doble Colorida,5.2567810227,32.6875699000
22 Ori,25044,22 Ori,Doble,5.3627076867,-0.3824692200
h3752,25045,h3752,Doble,5.3628521307,-24.7729499600
η Ori,25281,η Ori,Doble,5.4079491827,-2.3971384400
β Lep,25606,β Lep,Doble,5.4707573140,-20.7592321400
32 Ori,25813,32 Ori,Doble,5.5130688673,5.9482179200
δ Ori,25930,δ Ori,Doble,5.5334443747,-0.2990934000
Σ747,26199,Σ747,Doble,5.5840781087,-6.0020286700
Σ473,18539,Σ473,Doble,3.9657374507,9.6252984200
λ Ori,26207,λ Ori,Doble,5.5856326953,9.9341629400
ι Ori,26241,ι Ori,Doble Colorida,5.5905503167,-5.9098998400
42-45 Ori,26237,42-45 Ori,Doble,5.5897671293,-4.8383404500
σ Ori,26549,σ Ori,Doble,5.6457681407,-2.6000679100
ζ Ori,26727,ζ Ori,Doble,5.6793124480,-1.9425784100
γ Lep,27072,γ Lep,Doble Colorida,5.7411041607,-22.4474866300
52 Ori,27386,52 Ori,Doble,5.8000644000,6.4542102000
β Mon,30867,β Mon,Doble,6.4802983653,-7.0330504200
12 Lyn,32438,12 Lyn,Doble,6.7705979673,59.4416910800
μ CMa,33345,μ CMa,Doble,6.9351796600,-14.0434464400
ε CMa,33579,ε CMa,Doble,6.9770963007,-28.9720893100
145 CMa,35210,145 CMa,Doble Colorida,7.2768991333,-23.3156015500
19 Lyn,35783,19 Lyn,Doble,7.3807924693,55.2843930800
η Pup,36817,η Pup,Doble,7.5718538360,-23.4736631900
α Gem,36850,α Gem,Doble,7.5766679320,31.8886364500
k2 Pup,37229,k2 Pup,Doble,7.6471892480,-26.8038924000
ζ Cnc,40167,ζ Cnc,Doble,8.2035302353,17.6481375600
λ Cnc,40881,λ Cnc,Doble Colorida,8.3422636993,24.0223569900
φ2 Cnc,41404,φ2 Cnc,Doble,8.4464099060,26.9354857000
ι Cnc,43103,ι Cnc,Doble Colorida,8.7782873033,28.7600050900
57 Cnc,43721,57 Cnc,Doble,8.9040846413,30.5791772300
38 Lyn,45688,38 Lyn,Doble,9.3140742627,36.8028976300
τ Hya,46509,τ Hya,Doble Colorida,9.4857885440,-2.7689562700
Algieba,50583,Algieba,Doble,10.3328227027,19.8418603200
τ Leo,55945,τ Leo,Doble Colorida,11.4656194160,2.8562907100
17 Com,60904,17 Com,Doble Colorida,12.4818660513,25.9128880400
δ Cor,60965,δ Cor,Doble Colorida,12.4977731000,-16.5150939700
24 Com,61418,24 Com,Doble Colorida,12.5854895880,18.3770011800
γ Vir,61941,γ Vir,Doble,12.6944450380,-1.4495223100
θ Vir,64238,θ Vir,Doble Colorida,13.1658366767,-5.5389298700
π Boo,71762,π Boo,Doble,14.6787669360,16.4183013000
ε Boo,72105,ε Boo,Doble Colorida,14.7497919127,27.0741738300
Xi Boo,72659,Xi Boo,Doble Colorida,14.8564678373,19.1006332900
ι Lib,74392,ι Lib,Doble Colorida,15.2036978240,-19.7916314300
δ Boo,74666,δ Boo,Doble Colorida,15.2583621607,33.3151022200
γ UMi,75097,γ UMi,Doble Colorida,15.3454858933,71.8339730800
δ Ser,76276,δ Ser,Doble,15.5800528400,10.5388591600
ζ CrB,76669,ζ CrB,Doble Colorida,15.6563010553,36.6358276300
ξ Sco,78727,ξ Sco,Doble,16.0725000000,-11.3739167000
Σ1999,78739,Σ1999,Doble,16.0740976473,-11.4498249300
α Her,84345,α Her,Doble Colorida,17.2441284580,14.3902531400
ο Oph,84626,ο Oph,Doble Colorida,17.3001990980,-24.2868828900
95 Her,88267,95 Her,Doble Colorida,18.0251119240,21.5956881400
70 Oph,88601,70 Oph,Doble Colorida,18.0908924547,2.5024392800
ζ Lyr,91971,ζ Lyr,Doble Colorida,18.7462044087,37.6050502500
ε Lyr,91919,ε Lyr,Doble,18.7389825887,39.6699768600
Σ2404,92475,Σ2404,Doble,18.8459852953,10.9763769000
OΣ525,92833,OΣ525,Doble,18.9145891127,33.9685804800
Σ2470,94043,Σ2470,Doble,19.1458874993,34.7603084400
Σ2474,94076,Σ2474,Doble,19.1512084547,34.5999784800
β Cyg,95947,β Cyg,Doble Colorida,19.5120236860,27.9596948000
δ Cyg,97165,δ Cyg,Doble,19.7495672520,45.1306919500
ο Cyg,99675,ο Cyg,Doble Colorida,20.2271951880,46.7413241700
β Cap,100345,β Cap,Doble Colorida,20.3501795647,-14.7814011900
π Cap,100881,π Cap,Doble Colorida,20.4553343027,-18.2116943300
