REF,CLASS,AR,DEC
3C 273,Quasar,12.48519444,2.0525
3C 345,Quasar,16.71633333,39.81027778
Omicron 2 Eri,Enana Blanca,4.254533228,-7.652869667
HIP 3829,Enana Blanca,0.8197830556,5.376556667
HIP 21088,Enana Blanca,4.519866139,58.9770725
Grw+70 5824,Enana Blanca,13.64735503,70.28545574
LDS 678A,Enana Blanca,19.34303415,-7.666684988
W 1346,Enana Blanca,20.57274575,25.06381957
L1409-4,Enana Blanca,13.27273701,29.09872533
PG 1634+706,Quasar,16.57472222,70.52583333
Markarian 478 ,Quasar,14.70166667,35.43833333
HS 0624+6907,Quasar,60.5,69.08333333
S5 0716+71 ,Quasar,7.366666667,71.34166667
B3 0754+394,Quasar,7.966666667,39.34166667
PG 0804+761 ,Quasar,8.018333333,76.05
He 1029-1401,Quasar,10.53333333,-14.28333333
Markarian 421,Quasar,11.075,38.20833333
PG 1116+215 ,Quasar,11.31666667,21.31666667
PG 1211+143,Quasar,12.23833333,14.05
RX J1230.8+0115 ,Quasar,12.51333333,1.255
Markarian 501 ,Quasar,16.89833333,39.76
HGC 16,GlxGroup,2.15,-10.13
HCG 40,GlxGroup,9.6333,-4.85
HGC 44,GlxGroup,10.300556,21.816667
HCG 56,GlxGroup,11.533,52.93
HCG 57,GlxGroup,11.6167,21.9833
HGC 61,GlxGroup,12.2,29.16667
HCG 62,GlxGroup,12.8833,-9.216667
HGC 68,GlxGroup,13.8833,40.316667
HGC 79,GlxGroup,15.9833,20.75
HCG 88,GlxGroup,20.8667,-5.75
HCG 90,GlxGroup,22.0333,-31.96667
HCG 91,GlxGroup,22.15,-27.76667
HGC 92,GlxGroup,22.5833,33.95
HCG 93,GlxGroup,23.25,18.98333
HCG 94,GlxGroup,23.2833,18.7
HCG 98,GlxGroup,23.9,0.366667
