REF,AR,DEC
Abell 12,6.038888889,9.654166667
Abell 20,7.382666667,1.759444444
Abell 21,7.484458333,13.24861111
Abell 31,8.903666667,8.899722222
Abell 32,9.272666667,3.884444444
Abell 34,9.759722222,-13.16944444
Abell 35,12.89483333,-22.86166667
Abell 36,13.67813889,-19.8825
Abell 39,16.45938889,27.90916667
Abell 4,2.756611111,42.55083333
Abell 43,17.89227778,10.62361111
Abell 44,18.50313889,-16.75666667
Abell 50,18.98886111,48.46472222
Abell 53,19.11280556,6.397222222
Abell 55,19.17383333,-2.340277778
Abell 65,19.77619444,-23.13722222
Abell 7,5.051958333,-14.39361111
Abell 70,20.52588889,-7.088333333
Abell 72,20.83389167,13.55805556
Abell 74,21.28119444,24.14777778
Abell 75,21.43986111,62.8925
Abell 79,22.43813889,54.82777778
Abell 82,23.76319444,57.06555556
Jones 1,23.59833333,30.47500000
